risk_averse,anxietymode,culture
yes,high,C
yes,average,C
yes,average,C
no,high,C
yes,average,C
no,low,C
no,average,C
no,average,C
yes,high,C
yes,average,C
no,high,C
no,average,C
no,low,C
no,high,C
yes,average,C
no,average,C
no,low,C
no,high,C
no,average,C
no,average,C
no,low,C
yes,average,C
yes,average,C
yes,average,C
yes,low,C
yes,average,C
no,average,C
yes,average,C
yes,average,C
no,average,C
yes,average,A
no,high,A
no,average,A
no,average,A
yes,average,A
no,average,A
no,average,A
yes,low,A
no,low,A
no,average,A
no,average,A
no,high,A
no,average,A
no,average,A
yes,low,A
no,average,A
yes,average,A
yes,average,A
yes,average,A
yes,average,A
no,average,A
yes,average,A
no,average,A
yes,low,A
yes,average,A
no,high,A
no,high,A
yes,low,A
no,average,A
no,average,A
