participant,number_of_times_participant_switched,total_attempts,percentage,risk averse,anxietyscore,z_score,anxietymode
1002,6,31,19.35483871,yes,9,-0.117355444,average
1004,16,31,51.61290323,no,20,1.618695774,high
1006,13,31,41.93548387,no,11,0.198290232,average
1011,16,31,51.61290323,no,4,-0.906469634,average
1012,0,31,0,yes,11,0.198290232,average
1014,12,31,38.70967742,no,14,0.671758746,average
1015,13,31,41.93548387,no,10,0.040467394,average
1016,4,31,12.90322581,yes,1,-1.379938148,low
1017,14,31,45.16129032,no,3,-1.064292472,low
1018,10,31,32.25806452,no,6,-0.590823958,average
1020,17,31,54.83870968,no,8,-0.275178282,average
1021,14,31,45.16129032,no,22,1.934341451,high
1022,12,31,38.70967742,no,10,0.040467394,average
1023,15,31,48.38709677,no,10,0.040467394,average
1024,4,31,12.90322581,yes,2,-1.22211531,low
1025,16,31,51.61290323,no,6,-0.590823958,average
1026,8,31,25.80645161,yes,4,-0.906469634,average
1027,6,31,19.35483871,yes,12,0.35611307,average
1029,2,31,6.451612903,yes,9,-0.117355444,average
1030,2,31,6.451612903,yes,7,-0.43300112,average
1047,10,31,32.25806452,no,11,0.198290232,average
1048,4,31,12.90322581,yes,4.307692308,-0.85790876,average
1049,10,31,32.25806452,no,6,-0.590823958,average
1050,6,31,19.35483871,yes,0,-1.537760986,low
1053,4,31,12.90322581,yes,15,0.829581584,average
1054,16,31,51.61290323,no,26,2.565632803,high
1056,21,31,67.74193548,no,19,1.460872936,high
1058,7,31,22.58064516,yes,2,-1.22211531,low
1059,10,31,32.25806452,no,16,0.987404422,average
1060,10,31,32.25806452,no,14,0.671758746,average
