participant,number_of_times_participant_switched,total_attempts,percentage,risk averse,anxiety score,z_score,anxietymode
2,5,31,16.12903226,yes,54,1.417783585,high
10,0,31,0,yes,48,0.630126038,average
11,0,31,0,yes,44,0.105021006,average
12,15,31,48.38709677,no,56,1.680336101,high
13,4,31,12.90322581,yes,39,-0.551360283,average
14,12,31,38.70967742,no,30,-1.732846604,low
15,10,31,32.25806452,no,43,-0.026255252,average
16,16,31,51.61290323,no,39,-0.551360283,average
17,7,31,22.58064516,yes,54,1.417783585,high
18,8,31,25.80645161,yes,46,0.367573522,average
20,12,31,38.70967742,no,51,1.023954811,high
22,10,31,32.25806452,no,39,-0.551360283,average
31,14,31,45.16129032,no,35,-1.076465315,average
33,10,31,32.25806452,no,54,1.417783585,high
34,6,31,19.35483871,yes,49,0.761402296,average
35,10,31,32.25806452,no,37,-0.813912799,average
36,20,31,64.51612903,no,32,-1.470294088,low
37,12,31,38.70967742,no,52,1.155231069,high
38,12,31,38.70967742,no,41,-0.288807767,average
39,14,31,45.16129032,no,40,-0.420084025,average
40,14,31,45.16129032,no,32,-1.470294088,low
42,6,31,19.35483871,yes,50,0.892678554,average
43,0,31,0,yes,50,0.892678554,average
45,2,31,6.451612903,yes,38,-0.682636541,average
46,2,31,6.451612903,yes,29,-1.864122862,average
47,4,31,12.90322581,yes,38,-0.682636541,average
48,12,31,38.70967742,no,43,-0.026255252,average
49,0,31,0,yes,38,-0.682636541,average
50,7,31,22.58064516,yes,50,0.892678554,average
100,10,31,32.25806452,no,45,0.236297264,average
